Name,Guest OS,IP Address,Cert,Cert Expiry,License,Mgmt URL,vCPUs,Owner
SRV-DMSF-000,Microsoft Windows Server 2022 (64-bit),10.137.8.241,DEMO-CERT,8/9/2027,DEMO-LIC,https://srv-dmsf-000.demo.local,4,infra-demo
SRV-DMSF-001,Rocky Linux 9 (64-bit),10.137.8.136 169.254.249.67,,12/5/2026,DEMO-LIC,https://srv-dmsf-001.demo.local,8,ops-lead
SRV-DMSF-002,VMware Photon OS (64-bit),10.137.8.27,,17/9/2025,DEMO-LIC,https://srv-dmsf-002.demo.local,4,noc-team
SRV-DMSF-003,Rocky Linux 9 (64-bit),10.137.8.126,DEMO-WC-2027,5/5/2025,DEMO-LIC,https://srv-dmsf-003.demo.local,2,ops-lead
SRV-DMSF-004,Rocky Linux 9 (64-bit),10.137.8.161,,11/11/2027,DEMO-LIC,,4,infra-demo
SRV-DMSF-005,Rocky Linux 9 (64-bit),10.137.8.216,,19/7/2026,Volume,https://srv-dmsf-005.demo.local,16,ops-lead
SRV-DMSF-006,Ubuntu Linux (64-bit),10.137.8.193,INTERNAL-DEMO-CA,14/11/2026,Volume,https://srv-dmsf-006.demo.local,2,ops-lead
SRV-DMSF-007,Microsoft Windows 11 (64-bit),10.137.8.106,,9/5/2028,Volume,https://srv-dmsf-007.demo.local,2,sysdesk
SRV-DMSF-008,Microsoft Windows 11 (64-bit),10.137.8.151 169.254.244.210,DEMO-WC-2027,,OEM,https://srv-dmsf-008.demo.local,16,noc-team
SRV-DMSF-009,VMware Photon OS (64-bit),10.137.8.6,,22/5/2027,DEMO-LIC,,16,sysdesk
SRV-DMSF-010,Rocky Linux 9 (64-bit),"10.137.8.35, 10.137.8.95",,14/11/2026,DEMO-LIC,https://srv-dmsf-010.demo.local,2,ops-lead
SRV-DMSF-011,VMware Photon OS (64-bit),10.137.8.94,,,DEMO-LIC,https://srv-dmsf-011.demo.local,2,infra-demo
SRV-DMSF-012,Rocky Linux 9 (64-bit),10.137.8.187,INTERNAL-DEMO-CA,7/2/2027,OEM,https://srv-dmsf-012.demo.local,4,sysdesk
SRV-DMSF-013,Ubuntu Linux (64-bit),"10.137.8.15, 10.137.8.168",DEMO-CERT,1/3/2027,OEM,,2,sysdesk
SRV-DMSF-014,VMware Photon OS (64-bit),10.137.8.224,DEMO-CERT,10/12/2028,OEM,https://srv-dmsf-014.demo.local,4,noc-team
SRV-DMSF-015,Rocky Linux 9 (64-bit),10.137.8.221,DEMO-WC-2027,22/3/2027,Volume,,2,noc-team
SRV-DMSF-016,Ubuntu Linux (64-bit),"10.137.8.194, 10.137.8.202",DEMO-WC-2027,8/8/2027,DEMO-LIC,https://srv-dmsf-016.demo.local,16,noc-team
SRV-DMSF-017,Microsoft Windows 11 (64-bit),10.137.8.179,DEMO-CERT,17/8/2027,OEM,https://srv-dmsf-017.demo.local,4,sysdesk
SRV-DMSF-018,Rocky Linux 9 (64-bit),10.137.8.51,DEMO-WC-2027,,Volume,https://srv-dmsf-018.demo.local,4,sysdesk
SRV-DMSF-019,Microsoft Windows Server 2022 (64-bit),10.137.8.145,DEMO-WC-2027,24/5/2026,DEMO-LIC,https://srv-dmsf-019.demo.local,2,infra-demo
SRV-DMSF-020,Ubuntu Linux (64-bit),10.137.8.171,DEMO-CERT,,DEMO-LIC,https://srv-dmsf-020.demo.local,2,ops-lead
SRV-DMSF-021,Microsoft Windows Server 2022 (64-bit),10.137.8.38,DEMO-WC-2027,7/9/2027,Volume,,16,noc-team
SRV-DMSF-022,Ubuntu Linux (64-bit),10.137.8.134,DEMO-CERT,9/7/2026,OEM,https://srv-dmsf-022.demo.local,4,sysdesk
SRV-DMSF-023,VMware Photon OS (64-bit),10.137.8.39,DEMO-WC-2027,,OEM,,8,sysdesk
